"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_Femur.Eth","sigma_b",1.00048384077378,6599.94517611107
"Female","m2_Femur.Eth","sigma_y",1.00001381736036,6010.07383899484
"Female","m2_Femur.Eth","sigma",1.00001886169727,17513.9828232935
"Female","m2_Femur.Eth","y[1]",1.00060046263468,9644.15192392032
"Female","m2_Femur.Eth","y[2]",0.999927863310594,12556.2013129211
"Female","m2_Femur.Eth","y[3]",1.0000187294148,12706.7394955173
"Female","m2_Femur.Eth","y[4]",1.0001642288372,11284.1147101542
"Female","m2_Femur.Eth","y[5]",1.00023773655273,15968.3596971035
"Female","m2_Femur.Eth","b[1]",1.00028778972438,11282.100929038
"Female","m2_Femur.Eth","b[2]",0.999879748336509,17128.4678523313
"Female","m2_Femur.Eth","b[3]",1.00032579561032,14708.1468782294
"Female","m2_Femur.Eth","b[4]",1.00014678350591,14661.0029425331
"Female","m2_Femur.Eth","b[5]",1.00020953195271,12994.0801498797
"Female","m2_Tibia.Eth","x[1]",1.00023057298502,11308.1739168858
"Female","m2_Tibia.Eth","x[2]",1.00014150277768,14812.4682609841
"Female","m2_Tibia.Eth","x[3]",0.999983224070316,13087.0248325039
"Female","m2_Tibia.Eth","x[4]",1.00005934820125,11104.3612762844
"Female","m2_Tibia.Eth","x[5]",1.00011488172023,13055.5765000859
"Female","m2_Tibia.Eth","z[1]",1.00008149585182,8867.36822029827
"Female","m2_Tibia.Eth","z[2]",1.00023029107956,10776.134047822
"Female","m2_Tibia.Eth","z[3]",1.0008377818836,14766.0178017136
"Female","m2_Tibia.Eth","z[4]",0.999858516562436,10905.4380369843
"Female","m2_Tibia.Eth","z[5]",1.00029036665142,17418.1222703319
"Female","m2_Tibia.Eth","a",1.00019372114467,7620.1481477745
"Female","m2_Tibia.Eth","sigma_b",1.00081778972379,5002.90275650224
"Female","m2_Tibia.Eth","sigma_y",1.00005378045416,5205.06199511188
"Female","m2_Tibia.Eth","sigma",1.00016255033062,14446.7481725821
"Female","m2_Tibia.Eth","y[1]",1.00028864119458,7880.32197961287
"Female","m2_Tibia.Eth","y[2]",1.0002624926619,7193.37213666819
"Female","m2_Tibia.Eth","y[3]",1.00014512487925,14344.6130855563
"Female","m2_Tibia.Eth","y[4]",1.00027309739249,10535.9706946374
"Female","m2_Tibia.Eth","y[5]",0.999983257468209,15590.634381528
"Female","m2_Tibia.Eth","b[1]",1.00046795036783,11019.4410584608
"Female","m2_Tibia.Eth","b[2]",1.00007025027084,12977.8782884356
"Female","m2_Tibia.Eth","b[3]",1.00023300474284,10923.3962955824
"Female","m2_Tibia.Eth","b[4]",1.00025950550158,8422.57111161576
"Female","m2_Tibia.Eth","b[5]",1.00007239240015,10430.1768947338
"Female","m2_Arm.Eth","x[1]",1.00020520260614,11522.3905071773
"Female","m2_Arm.Eth","x[2]",1.00025120046784,15707.1809675836
"Female","m2_Arm.Eth","x[3]",1.00027657195002,14804.7002646833
"Female","m2_Arm.Eth","x[4]",0.999939425566318,13164.5727690695
"Female","m2_Arm.Eth","x[5]",1.00002276156012,15454.3019207694
"Female","m2_Arm.Eth","z[1]",1.00009223056374,8030.1343697651
"Female","m2_Arm.Eth","z[2]",0.999932153395098,10684.4732162639
"Female","m2_Arm.Eth","z[3]",1.00039255534992,13863.6726720743
"Female","m2_Arm.Eth","z[4]",1.00044684334734,10002.4694905904
"Female","m2_Arm.Eth","z[5]",1.00014909494575,17012.4002926014
"Female","m2_Arm.Eth","a",0.99996205511553,7855.9403733795
"Female","m2_Arm.Eth","sigma_b",1.00055523296921,5987.56022508913
"Female","m2_Arm.Eth","sigma_y",1.00054960809282,5117.29310181374
"Female","m2_Arm.Eth","sigma",1.00015506781021,15459.6520272138
"Female","m2_Arm.Eth","y[1]",1.00003769410085,7668.41471076806
"Female","m2_Arm.Eth","y[2]",1.00009530515455,7567.44844969788
"Female","m2_Arm.Eth","y[3]",1.00004309587389,13489.2762199329
"Female","m2_Arm.Eth","y[4]",1.00009042379553,9834.78523298851
"Female","m2_Arm.Eth","y[5]",1.00018105562388,16340.1664255059
"Female","m2_Arm.Eth","b[1]",1.00008976951848,10786.4227552257
"Female","m2_Arm.Eth","b[2]",1.00011178801492,16438.1746789698
"Female","m2_Arm.Eth","b[3]",1.00050808088753,14175.5062416855
"Female","m2_Arm.Eth","b[4]",1.00006201050347,11628.4558687477
"Female","m2_Arm.Eth","b[5]",1.00001109499315,13866.9507126878
"Female","m2_Humerus.Eth","x[1]",1.00032394025738,13730.4214707351
"Female","m2_Humerus.Eth","x[2]",1.00008826691812,16695.5205704623
"Female","m2_Humerus.Eth","x[3]",1.00158975284043,14582.6773534419
"Female","m2_Humerus.Eth","x[4]",1.00045700348728,14360.3746727785
"Female","m2_Humerus.Eth","x[5]",1.0000660476286,16562.3089140628
"Female","m2_Humerus.Eth","z[1]",1.00033689516483,12146.3498004645
"Female","m2_Humerus.Eth","z[2]",1.00055525538241,15712.5591039603
