"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AR-031","Run","RunM","No","Non-elite","Rn/m",40,"Male","White",498,NA,5,5,24,29,"Cycle, Swim",71.5,172,91,170.75,37.15,45.05,26.5,44.45,40,31,28.7,4.4,6.7,7.3,17.3,8.1,22.3,9.4,81,65.38,20.93,35.95,7,-0.422642566628511
"AR-032","Run","RunF","No","Non-elite","Rn/f",22,"Female","White",674,NA,3,15,15,30,"Cycle, Walk",48.7,169.25,90.5,163,37.35,44.35,26.45,44.35,34,28.1,21.3,7.85,6.46,6.69,17.2,6.7,21.7,8.1,78.75,64.5,20.15,34.4,6.58,-2.20181211458232
"AR-033","Run","RunM","No","Non-elite","Rn/m",26,"Male","Asian",310,NA,2,5,6,11,"Swim, Yoga, Gym",72.3,179.5,94.5,176,39.9,46.55,27.1,46.25,41.5,29.75,27.45,5.65,6.86,7.29,18.6,8,23.1,8.8,85,67.25,21,38.45,7.08,1.42049073183665
"AR-034","Run","RunM","No","Non-elite","Rn/m",42,"Male","White",684,NA,6,5,0,5,"NONE",73.2,183,96.25,185.75,40.25,48.95,29.75,48.85,42.65,29.65,26.75,9.3,7.1,7.53,18.8,8.6,26.3,10,86.75,71.55,22.7,37.8,7.32,3.52538048149003
"AR-035","Run","RunM","No","Non-elite","Rn/m",58,"Male","White",207,NA,45,12,6,18,"Gym, Row, Cycle",74.7,180.5,92.75,185,40.8,48.65,29.7,49.1,41.9,30.2,26.4,10,7.47,7.7,19.1,8.4,23.9,10,87.75,71.55,22.45,39.1,7.59,2.97397738422021
"AR-036","Run","RunF","No","Non-elite","Rn/f",62,"Female","White",384,NA,12,2,5,7,"Yoga, Gym",58.2,164.25,86.5,164.75,36.25,43.15,25.8,42.95,36.45,29.25,23.15,12.85,7.36,7.54,17.2,7.6,19.3,8.6,77.75,64.15,21.2,34.6,7.45,-2.43513524695711
"AR-037","Run","RunF","No","Non-elite","Rn/f",37,"Female","White",340,NA,12,2,1,3,"Swim",61.7,167,91,166,35.3,42.65,26,44.5,35.45,31.4,23.25,18.4,6.79,7.15,17.7,7.9,20.4,8.4,76,65.28,20.78,33.35,6.97,-1.87304137648049
"AR-038","Run","RunF","No","Non-elite","Rn/f",22,"Female","White",518,NA,15,4,4,8,"Yoga, Row",61.2,163,89,165.25,34.15,41,26.3,43.45,36.2,27.7,23.25,14.8,6.36,6.75,16.8,7.2,19.9,8.5,74,64.53,21.08,33,6.56,-3.23504231644294
"AR-039","Run","RunM","No","Non-elite","Rn/m",41,"Male","White",45,NA,1,3,1,4,"Gym",72.1,173.5,90.5,177.5,38.9,47.4,28.1,46.9,40.3,27.95,26.1,10.1,6.76,6.6,17.3,8,22.6,9.1,83,68.6,21.7,35.6,6.68,-0.05713891424976
"AC-014","Climb","ClimbM","No","Non-elite","Cn/m",27,"Male","Asian",NA,16.5,8,0.5,5,5.5,"Powerlift",88.2,182,95.75,187,40,48,29.55,48.65,42.4,30.45,29.75,16.1,6.98,7.76,19,9,22.3,9.7,86.25,72.3,23.65,38.25,7.37,2.77848004723169
"AR-040","Run","RunF","No","Non-elite","Rn/f",49,"Female","Asian",373,NA,11,4.5,1,5.5,"Horseriding",49.6,162,83,173,37.15,44.25,27.55,45.65,36.35,24,22.65,6.75,6.78,7.51,17.9,8.1,20.7,8.4,79,68.33,22.68,34.75,7.15,-2.3138686106211
